34.9056603774	2.7
36.7924528302	4.8
55.6603773585	10.2
34.9056603774	12.3
56.6037735849	15.9
58.4905660377	21.0
35.8490566038	23.4
34.9056603774	27.0
57.5471698113	30.9
37.7358490566	34.8
34.9056603774	36.9
33.9622641509	38.7
39.6226415094	44.1
34.9056603774	45.9
34.9056603774	47.4
35.8490566038	50.4
56.6037735849	53.7
58.4905660377	58.2
36.7924528302	60.0
35.8490566038	64.2
33.0188679245	65.7
56.6037735849	69.6
41.5094339623	72.9
35.8490566038	74.7
36.7924528302	77.4
38.679245283	80.4
38.679245283	83.1
43.3962264151	86.1
34.9056603774	88.8
33.9622641509	90.3
36.7924528302	92.1
35.8490566038	94.8
49.0566037736	98.1
34.9056603774	99.6
41.5094339623	102.3
77.358490566	103.2
39.6226415094	105.6
34.9056603774	108.6
34.9056603774	110.1
41.5094339623	114.6
79.2452830189	116.4
35.8490566038	117.9
52.8301886792	122.1
33.9622641509	123.6
60.3773584906	127.8
47.1698113208	131.1
33.0188679245	132.9
33.9622641509	137.1
33.0188679245	138.6
54.7169811321	142.2
33.0188679245	144.0
37.7358490566	146.4
33.9622641509	148.5
33.0188679245	150.3
38.679245283	153.0
34.9056603774	154.8
33.9622641509	156.3
32.0754716981	157.8
32.0754716981	160.5
32.0754716981	162.3
34.9056603774	163.8
34.9056603774	166.5
31.1320754717	168.0
33.0188679245	169.5
33.0188679245	172.5
55.6603773585	175.8
35.8490566038	177.6
45.2830188679	181.8
56.6037735849	186.0
33.0188679245	187.8
55.6603773585	190.5
33.9622641509	193.2
33.0188679245	194.7
34.9056603774	196.5
33.9622641509	198.9
36.7924528302	201.0
33.9622641509	202.5
55.6603773585	206.4
36.7924528302	208.5
34.9056603774	211.2
37.7358490566	213.0
54.7169811321	216.3
33.9622641509	218.7
35.8490566038	220.5
57.5471698113	225.0
32.0754716981	226.8
57.5471698113	231.3
33.9622641509	233.1
33.9622641509	234.6
34.9056603774	237.3
32.0754716981	239.1
33.0188679245	240.6
33.9622641509	242.1
33.9622641509	245.1
33.9622641509	246.6
31.1320754717	248.1
33.0188679245	250.8
35.8490566038	252.6
34.9056603774	254.7
34.9056603774	257.4
31.1320754717	259.5
32.0754716981	260.7
33.0188679245	262.8
36.7924528302	265.5
33.9622641509	267.3
32.0754716981	269.1
35.8490566038	272.1
35.8490566038	273.6
33.0188679245	275.4
33.9622641509	278.1
32.0754716981	279.6
37.7358490566	281.4
55.6603773585	285.6
33.9622641509	287.7
37.7358490566	290.4
31.1320754717	292.5
32.0754716981	293.7
33.0188679245	295.5
54.7169811321	299.1
35.8490566038	300.9
34.9056603774	303.9
34.9056603774	305.7
33.0188679245	307.2
33.9622641509	309.9
33.0188679245	311.7
33.0188679245	313.2
38.679245283	316.2
55.6603773585	319.5
36.7924528302	322.5
57.5471698113	326.1
79.2452830189	331.5
35.8490566038	334.8
36.7924528302	338.1
56.6037735849	341.4
35.8490566038	344.7
53.7735849057	348.0
60.3773584906	352.5
36.7924528302	354.9
36.7924528302	358.2
33.9622641509	360.3
62.2641509434	366.0
62.2641509434	370.8
37.7358490566	374.4
33.9622641509	376.5
39.6226415094	378.9
34.9056603774	382.5
59.4339622642	386.7
34.9056603774	390.3
35.8490566038	392.7
42.4528301887	395.7
32.0754716981	399.6
57.5471698113	404.1
33.0188679245	408.0
42.4528301887	410.7
37.7358490566	413.4
39.6226415094	418.2
32.0754716981	420.9
31.1320754717	423.0
40.5660377358	428.1
34.9056603774	431.1
38.679245283	433.5
57.5471698113	441.0
35.8490566038	444.0
35.8490566038	449.1
32.0754716981	452.1
35.8490566038	455.1
35.8490566038	461.1
35.8490566038	464.4
33.0188679245	468.3
35.8490566038	474.6
33.9622641509	478.8
38.679245283	482.7
34.9056603774	491.1
36.7924528302	496.2
34.9056603774	501.3
34.9056603774	511.8
33.0188679245	518.4
33.9622641509	524.7
38.679245283	540.6
30.1886792453	553.2
35.8490566038	562.8
33.9622641509	586.2
60.3773584906	618.6
33.0188679245	645.6
33.0188679245	662.1
33.9622641509	684.6
avg length 39.5871373504
